filename,PCA_x,PCA_y
TWEEN 20-1-1-a.csv,3.6791206547852187,-2.122442718058926
TWEEN 20-1-1-b.csv,3.5690695447180834,-2.1284131911057353
TWEEN 20-1-1-c.csv,3.59156170218051,-2.167364632271394
TWEEN 20-1-2.csv,-8.389274348003712,-0.3982258601718191
TWEEN 20-1-3.csv,-8.604349750460932,-0.22713907516126042
TWEEN 20-10.csv,-1.7058923871971856,0.4550353910373509
TWEEN 20-11.csv,-0.5167799904299856,1.7071593544966075
TWEEN 20-12.csv,-2.9423340141133245,-1.844912442649202
TWEEN 20-13.csv,-1.9798055606461427,-1.023795722517536
TWEEN 20-14.csv,1.3190376643760533,-0.1358873256757759
TWEEN 20-15.csv,-0.6444329217600264,-1.328148769372432
TWEEN 20-16.csv,-2.6484559405923416,-0.08454520404898763
TWEEN 20-17.csv,-3.9634027601666206,0.29453309000594446
TWEEN 20-18.csv,-0.5992727213209958,-0.1259491092957306
TWEEN 20-2.csv,14.055154329493059,0.2775919107748673
TWEEN 20-3.csv,-0.274824049961091,-0.40985472973721704
TWEEN 20-4.csv,-0.5145341542814453,0.6519357023252744
TWEEN 20-5.csv,0.6012440830725969,0.995070825057326
TWEEN 20-6.csv,1.3094881072826419,5.345906714093054
TWEEN 20-7.csv,-0.65406393380417,-0.1278545568873328
TWEEN 20-8.csv,0.21846830163818717,2.314471139334824
TWEEN 20-9.csv,5.09427814519159,0.08282920982816472
